"lineage","country","date","ORF1a.H3076Y","ORF1b.P314L","ORF3a.T14I","ORF9b.I5T","S.D614G","ORF1a.F143L","ORF1b.P1664S","S.V622F","ORF1a.P309Q","ORF1b.S598N","ORF1b.T2084I","ORF3a.P240S","N.S194L","ORF1a.L788F","ORF1a.I3758V","ORF1b.R2049K","ORF1b.G2280C","ORF1a.G30S","ORF1a.P3613R","ORF1b.A176V","ORF1a.L3606F","ORF1a.L730F","ORF1a.S1612L","ORF3a.K67E","ORF3a.V88L","S.W152R","S.M1237I","ORF1a.S376L","ORF1a.S3344F"
"B.1.147","Switzerland","2020",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-03-17",0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-04-03",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-04-05",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-03-14",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-03-14",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-03-14",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-03-14",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","Switzerland","2020-03-17",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","USA","2020-11-07",0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","USA","2020-11-07",0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.147","USA","2020-04-27",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.147","USA","2020-05-02",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.147","USA","2020-02-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.147","USA","2021-03-03",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
"B.1.147","USA","2020-04",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
