"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","S.D614G","ORF1a.L3606F","ORF8.S67F","ORF1a.W3666R","ORF1a.L1145F","ORF3a.A33S","S.H1101N","ORF1b.F1360S","ORF1b.G1362R","ORF7b.L32I","ORF1a.N3540S","ORF1b.S638I","ORF1a.E390D","ORF7b.I26V","ORF1b.K469N","ORF1b.S1391L","ORF3a.P159S","ORF8.P38L","S.V143F"
"B.1.1.125","United Kingdom","2020-06-15",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-15",1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-17",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-17",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-16",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-16",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-13",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-10",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-08",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-08",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-13",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-13",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-17",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-13",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-12",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-18",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-16",1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-10",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-10",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-07-15",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"B.1.1.125","United Kingdom","2020-07-17",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"B.1.1.125","United Kingdom","2020-07-17",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"B.1.1.125","United Kingdom","2020-07-17",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"B.1.1.125","United Kingdom","2020-06-10",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-06-16",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.125","United Kingdom","2020-07-15",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
