"lineage","country","date","ORF1a.D33N","ORF1a.T265I","ORF1a.Q1582H","ORF1b.P314L","ORF3a.Q57H","S.A520S","S.D614G","ORF1b.V1905L","N.D371N","ORF1a.P309Q","N.G34W","N.S194L","ORF1a.K734R","ORF1a.S2661F","ORF1b.S2338L","ORF8.S21N","ORF1a.T1840I","ORF1a.T4087I","ORF1a.L3606F","ORF1a.E637D","ORF1b.K2557R","ORF1a.R4387C","S.S939F","ORF7a.T11I","ORF1b.E601G","ORF1b.P1452S","ORF1b.Q1441H","N.R185H","ORF1a.D1481A","ORF1a.S2625F","ORF1b.T2453I","ORF8.R52I","N.P20L","ORF9b.P17S","ORF1a.S1534G","ORF1b.A1291T","S.S46L"
"B.1.119","USA","2020-03-23",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-03-19",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-03-19",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-03-21",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-03-21",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-03-19",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-08-27",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"B.1.119","USA","2020-08-20",0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"B.1.119","USA","2020-09-17",0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"B.1.119","USA","2020-09-17",0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"B.1.119","USA","2020-04-03",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-05-22",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-05-10",0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.119","USA","2020-09-18",0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
