"region","country","division"
"North America","USA","Wyoming"
"Asia","Uzbekistan","Tashkent"
"Asia","Uzbekistan","Qashqadaryo Region"
"Asia","Uzbekistan","Bukhara Region"
"Asia","Uzbekistan","Fergana Region"
"South America","Venezuela","Venezuela"
"Asia","Vietnam","Southeast Region"
"Asia","Palestine","West Bank"
"Asia","Palestine","Nablus"
"Asia","Palestine","Qalqilya"
"Asia","Palestine","Tubas"
"Asia","Palestine","Jenin"
"Asia","Palestine","Bethlehem"
"Asia","Palestine","Ramallah and al-Bireh Governorate"
"Asia","Palestine","Jericho"
"Africa","South Africa","KwaZulu-Natal"
"Africa","Zambia","Zambia"
