"lineage","country","date","N.R203K","N.G204R","ORF1a.T1001I","ORF1a.A3436S","ORF1b.P314L","ORF1b.S442C","ORF1b.R1365Q","S.D614G","ORF3a.T89I","ORF1b.R1315C","ORF1a.H1160Q","N.N140H","ORF1a.T2274I","ORF1b.R2684I","ORF7a.P34L","ORF1a.T592I","ORF1a.T350I","ORF1a.T1269I","ORF1a.M3221I","ORF1a.M3652I","ORF1a.T4129I","ORF1b.V1271A","ORF3a.G44R","ORF8.F3L","ORF8.F120L","S.P681H"
"B.1.1.45","United Kingdom","2020-06-09",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-13",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-08",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-09",1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-13",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-09",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-11",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-19",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-19",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-19",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-15",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-20",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-19",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-07-01",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-07-02",1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-30",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-30",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-30",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-26",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-23",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-23",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-23",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-23",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-07",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-07",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-07",1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-15",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-16",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-16",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-21",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-16",1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-18",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-10",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-09",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-11",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-11",1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-12",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-12",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-12",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-17",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-15",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","United Kingdom","2020-06-16",1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.45","Switzerland","2020-12-01",1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.1.45","Switzerland","2020-12-09",1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.1.45","USA","2021-01-21",1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
