"lineage","country","date","N.A220V","N.P365S","ORF1b.P314L","ORF1b.M2667I","S.A222V","S.D614G","ORF1b.E2311K","ORF3a.D142H","ORF1a.K3353R","N.M234I","N.A376T","ORF1a.M3087I","ORF1b.A176S","ORF1b.V767L","ORF1b.K1141R","ORF1b.E1184D","ORF3a.Q57H","ORF7a.T14I","ORF8.S24L","S.S477N","ORF1a.M1378I","ORF3a.V29F","ORF1b.T797I","S.S98F","ORF1a.P971L","ORF1a.L3116F","S.S640F","ORF1a.E3177D","ORF1a.K120N","ORF1a.V1143F","ORF1a.L1144I","ORF1a.Q1227R","ORF1a.E471A","M.C86F","ORF1a.L3606F","ORF1b.T2432I","ORF1a.E2050G","ORF1a.T2283A","ORF8.V13I","S.A1020S","ORF1a.R1163I","ORF3a.F105L","ORF1a.R402C","ORF1b.I1674T","ORF1a.T4083M","ORF1b.P2313H","S.L18F","S.P26S","S.A845S","ORF1b.S1661I","ORF1b.Y1944.","ORF1b.C2341F","S.T95I","ORF1a.L3545V","S.Q613H","ORF1a.V3261I","N.G120R","S.L5F","ORF6.W27L","N.I131T","ORF1a.L92F","ORF1a.M2259I","ORF8.D35Y","ORF1a.T1881I","ORF8.E106.","N.H300Y","ORF1a.A2097V","ORF1a.A2129V","ORF1b.T1060M","S.H146Y","S.D198G","S.G769V","ORF1a.T1542I","N.A90T","ORF1a.E910D","ORF3a.A99V"
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.44","Switzerland","2020",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
