"lineages","V2"
"AY.43.8",521
"B.1.1.416",519
"B.1.1.25",518
"B.1.568",512
"B.1.320",511
"C.36",508
"B.1.509",502
"AY.88",491
"B.1.177.43",477
"B.1.349",474
"B.1.389",467
"AY.91",462
"AY.77",459
"B.1.139",457
"AY.4.3",450
"B.1.577",447
"B.1.177.18",442
"B.1.1.51",441
"C.35",440
"B.1.565",431
"AY.120.2.1",426
"AY.34.1.1",424
"AY.43.9",421
"AZ.3",421
"B.1.551",420
"AY.81",417
"AY.116",416
"AY.24",411
"B.1.177.58",410
"AY.7.2",409
"AY.122.4",406
"B.1.588",400
"C.30",399
"W.4",393
"B.1.582",392
"B.1.177.20",386
"AY.58",385
"B.1.177.5",382
"AY.108",380
"AY.85",379
"AY.71",372
"B.1.1.198",365
"B.1.160.14",364
"B.1.1.348",363
"AY.93",362
"B.1.177.69",362
"AY.86",353
"B.1.1.10",351
"AY.4.15",347
"B.1.93",345
"B.1.214.2",341
"B.1.1.207",341
"B.1.265",341
"AY.60",336
"B.1.396",336
"B.1.177.15",331
"AY.3.4",328
"B.1.177.11",328
"B.1.409",324
"B.1.36.1",321
"B.1.391",320
"AY.73",319
"B.1.404",317
"AY.4.11",313
"B.1.258.3",313
"B.1.160.26",313
"AY.53",309
"B.1.1.214",309
"B.1.36.8",308
"AY.43.3",305
"B.1.361",297
"B.1.177.19",296
"B.1.177.9",294
"B.1.126",294
"AY.39.2",293
"B.1.503",289
"B.1.239",289
"B.3",288
"B.1.619",287
"B.1.1.432",285
"B.1.1.4",281
"B.1.351.3",280
"B.1.416.1",276
"B.1.1.253",274
"B.1.367",273
"AY.83",272
"AY.78",269
"AY.122.3",267
"B.1.236",263
"B.1.1.277",257
"B.1.235",256
"B.1.36.35",256
"P.1.1",255
"B.1.177.6",255
"B.1.1.44",254
"B.1.1.170",254
"AY.80",253
"B.1.570",253
"B.1.177.23",249
"P.1.15",248
"B.1.324",248
"B.1.22",245
"B.1.1.232",244
"B.1.399",240
"AY.34.2",239
"A.23.1",239
"B.1.177.55",234
"B.1.1.153",233
"B.1.177.75",230
"B.1.627",230
"B.1.1.286",229
"AY.38",228
"B.1.1.303",227
"B.1.305",226
"AY.5.5",222
"C.16",218
"AY.94",218
"B.1.221.1",218
"B.1.346",217
"B.1.1.219",214
"B.1.1.217",213
"B.1.1.255",210
"AY.56",209
"B.1.403",209
"B.1.111",206
"B.1.177.48",206
"AY.128",206
"B.1.1.464",206
"B.1.1.74",205
"B.1.471",204
"C.36.3.1",204
"B.1.1.83",204
"B.1.8",200
"AY.27",197
"B.1.384",196
"AY.3.2",195
"B.1.160.30",191
"AY.99.2",190
"B.6",189
"B.1.1.189",189
"B.1.177.77",189
"AY.123",187
"A.2.2",186
"AY.72",186
"B.1.433",184
"B.1.160.32",183
"B.1.425",183
"B.1.177.52",182
"B.1.631",182
"B.1.160.29",179
"B.1.1.228",178
"B.1.36.9",177
"B.1.1.186",177
"AY.132",175
"B.1.160.7",175
"A.3",174
"B.1.1.294",174
"B.1.1.284",174
"B.1.1.171",173
"B.1.610",173
"B.1.1.26",172
"B.1.1.192",170
"B.1.453",168
"B.1.1.227",166
"B.1.13",164
"AY.122.1",162
"P.1.16",162
"B.1.1.486",162
"B.1.160.15",162
"B.1.298",161
"B.1.36.31",157
"AY.95",157
"B.1.258.4",156
"B.1.576",156
"B.1.1.67",154
"B.1.160.11",151
"AY.39.3",150
"AV.1",149
"B.1.1.420",148
"AY.4.13",146
"B.1.1.269",146
"B.1.1.365",143
"D.3",142
"B.1.177.2",142
"P.1.7",140
"B.1.1.297",140
"B.1.332",140
"B.1.634",140
"B.1.36.29",139
"B.1.104",139
"B.1.612",138
"B.1.206",137
"B.1.110",136
"AY.40",135
"P.1.12",135
"B.1.1.8",134
"B.1.177.60",134
"B.1.160.12",134
"B.1.260",133
"B.1.177.82",131
"B.1.1.33",130
"AY.76",130
"W.3",130
"B.1.1.231",130
"B.1.201",129
"B.1.362.2",128
"B.1.1.220",126
"AY.120.2",126
"B.28",125
"B.1.1.523",125
"B.1.1.138",125
"B.1.1.306",124
"B.1.1.28",124
"AY.99",124
"B.1.625",124
"B.1.1.174",124
"B.1.289",123
"AY.25.2",122
"B.1.567",120
"AY.23.1",119
"AY.127.1",119
"AZ.2",119
"B.1.1.265",119
"L.3",118
"B.1.258.7",118
"B.1.1.385",118
"B.1.421",118
"AY.23.2",117
"B.1.356",116
"B.1.199",116
"B.1.1.304",116
"AY.49",116
"B.39",114
"A.2",113
"A.28",113
"AY.4.14",113
"B.1.221.2",112
"B.1.23",111
"B.1.532",111
"B.1.160.31",111
"B.1.112",111
"B.1.160.22",110
"B.1.36.39",109
"B.1.258.14",109
"B.1.1.368",109
"B.1.177.65",108
"B.1.160.10",108
"P.1.17.1",107
"B.1.124",107
"B.1.516",107
"B.1.162",107
"B.1.620",106
"B.1.366",106
"B.1.1.244",105
"B.1.599",105
"B.1.605",105
"B.1.336",104
"B.1.177.26",102
"B.1.9.4",102
"C.12",102
"B.1.451",102
"B.1.319",101
"B.1.36.28",100
"B.1.469",100
"B.1.1.453",100
"B.1.523",99
"AY.30",99
"B.1.1.240",99
"C.37.1",98
"B.1.1.12",98
"B.1.448",98
"B.1.1.200",97
"B.1.1.135",97
"B.1.160.9",97
"B.1.443",97
"P.1.14",96
"B.1.1.196",95
"AY.79",94
"A.29",94
"B.1.223",94
"B.1.1.337",94
"B.1.146",93
"B.1.177.83",93
"B.11",93
"B.1.1.161",93
"B.1.574",93
"B.1.166",93
"B.31",92
"B.1.338",92
"B.1.377",92
"C.23",92
"B.1.177.71",92
"B.1.340",92
"B.1.3",92
"B.1.1.115",91
"B.1.1.305",91
"B.1.541",91
"B.1.268",90
"B.55",90
"B.1.177.21",90
"B.1.1.309",90
"B.1.160.23",90
"B.1.587",90
"B.1.544",88
"C.3",88
"B.1.36.16",87
"AY.124.1",87
"B.1.408",87
"B.1.558",87
"B.1.1.47",86
"B.1.177.84",85
"B.1.91",85
"B.1.626",84
"B.1.1.376",84
"B.1.1.406",83
"B.1.177.51",82
"B.1.1.50",81
"B.1.636",81
"B.1.549",80
"B.1.190",80
"B.1.108",79
"B.1.1.274",78
"B.1.439",78
"B.4",77
"B.1.580",77
"C.38",77
"B.1.1.362",77
"B.1.1.521",76
"B.1.301",76
"B.1.314",75
"B.1.1.59",75
"B.1.602",75
"B.1.1.180",75
"AY.131",74
"B.1.1.236",74
"B.1.1.3",74
"B.1.629",74
"B.1.1.517",74
"B.1.1.89",73
"B.4.5",73
"B.1.465",73
"B.1.1.204",73
"B.23",72
"B.1.1.205",71
"B.1.1.58",70
"B.1.1.300",70
"A.2.5.2",70
"B.1.225",70
"B.1.413",70
"B.1.105",69
"B.1.36.12",69
"AY.133",69
"B.29",68
"B.1.177.53",68
"B.1.177.32",68
"B.1.600",68
"B.1.397",68
"B.1.1.216",67
"B.1.36.24",67
"B.1.189",67
"B.1.385",67
"B.1.521",67
"B.1.1.225",67
"B.1.210",66
"B.1.630",66
"B.1.1.129",66
"A.5",65
"AY.28",65
"B.1.177.33",65
"B.1.362",65
"B.1.36.2",65
"B.1.177.28",65
"AY.15",65
"B.1.306",65
"B.1.492",65
"B.1.313",64
"B.1.1.241",64
"B.1.398",64
"B.1.1.125",64
"Z.1",64
"AZ.2.1",64
"B.1.117",63
"B.1.402",63
"B.1.337",63
"AY.103.1",63
"B.1.550",63
"B.1.222",62
"B.1.160.20",62
"B.1.113",62
"B.1.554",62
"B.1.1.299",61
"B.1.258.12",61
"B.1.1.374",61
"AY.16.1",60
"B.1.258.10",60
"B.1.229",60
"B.1.527",60
"N.5",60
"B.1.1.329",60
"B.1.1.132",60
"B.1.1.61",60
"B.1.480",59
"B.1.524",59
"B.1.237",59
"B.1.37",59
"B.1.1.164",58
"B.1.1.71",58
"U.1",58
"B.1.1.45",58
"B.1.1.351",58
"B.1.390",58
"AA.1",58
"R.2",58
"B.1.1.518",58
"B.1.423",58
"B.1.1.308",57
"B.45",57
"B.1.177.73",57
"B.1.381",57
"AY.59",56
"AY.119.1",56
"B.1.1.270",56
"B.1.165",55
"A.27",55
"B.1.370",55
"AY.19",54
"AY.4.2.4",54
"B.1.128",54
"AY.91.1",54
"B.1.258.5",54
"B.1.160.28",54
"B.1.621.2",54
"B.1.452",54
"B.1.436",54
"B.35",53
"AY.112.1",53
"B.1.1.41",53
"B.1.36.7",53
"B.1.1.17",53
"B.1.280",53
"B.1.603",53
"B.1.119",52
"B.1.1.256",51
"B.3.1",51
"B.1.1.141",51
"B.1.595.1",50
"B.1.1.419",49
"B.1.1.165",49
"AY.21",49
"B.1.405",49
"B.1.401",49
"B.1.14",49
"B.1.9.5",48
"AY.42.1",48
"B.1.1.130",48
"AP.1",48
"B.1.379",48
"B.1.530",48
"B.1.1.334",48
"AY.55",47
"AY.99.1",46
"B.1.282",46
"B.1.96",46
"B.1.1.428",46
"B.1.382",46
"B.1.360",46
"AY.101",45
"B.1.131",45
"B.1.640.1",45
"AY.25.1.2",45
"XA",44
"AY.20.1",44
"B.1.78",44
"B.1.435",44
"B.1.348",44
"B.46",44
"B.1.177.50",43
"B.1.1.128",43
"B.1.400.1",43
"B.1.485",43
"B.1.264",42
"B.1.218",42
"AY.22",42
"B.1.1.218",42
"B.1.351.2",42
"B.1.637.1",42
"B.1.213",42
"B.1.545",42
"B.20",42
"B.1.1.123",41
"B.1.36.10",41
"B.1.515",41
"N.4",40
"B.1.9",40
"B.1.1.384",40
"AY.96",40
"B.1.36.38",39
"B.1.406",39
"B.1.247",39
"B.1.267",39
"B.1.1.158",39
"B.1.591",39
"B.1.1.322",38
"B.1.177.89",38
"B.1.1.290",38
"B.1.1.136",37
"B.1.238",37
"B.1.251",37
"B.1.632",37
"B.1.103",37
"B.1.281",36
"B.1.1.487",36
"B.1.157",36
"AY.66",36
"B.1.478",36
"B.1.546",36
"P.3",35
"B.1.170",35
"B.1.441",35
"B.1.1.237",35
"B.1.81",35
"B.1.1.113",35
"B.61",34
"AY.75.2",34
"B.1.258.6",34
"B.1.214.3",34
"AY.5.1",34
"B.1.437",34
"B.1.1.528",34
"B.1.1.418",34
"B.1.147",33
"B.1.415",33
"AY.122.2",33
"B.1.1.413",33
"B.1.411",33
"B.1.1.229",33
"B.1.1.344",33
"B.1.539",33
"B.1.1.239",33
"B.1.287",33
"B.1.1.139",33
"B.1.344",33
"B.1.505",32
"B.1.460",32
"B.1.177.31",32
"B.1.220",32
"B.1.1.285",32
"B.1.258.24",32
"B.1.355",32
"AE.6",31
"B.1.1.433",31
"B.1.552",31
"B.1.438.4",31
"B.1.507",31
"B.1.363",31
"AY.104",30
"B.1.639",30
"B.1.1.15",30
"C.27",30
"W.1",30
"B.1.36.22",30
"AY.82",30
"B.1.579",30
"B.1.444",30
"A.4",30
"B.1.274",30
"B.1.575.1",29
"B.1.177.63",29
"B.1.177.85",29
"B.33",29
"B.1.1.111",29
"B.1.143",29
"B.1.428.1",29
"B.1.38",29
"B.1.508",29
"B.1.328",29
"B.1.499",28
"B.1.378",28
"AY.5.2",28
"B.1.1.120",28
"B.1.173",28
"B.1.1.97",28
"B.1.1.144",28
"B.1.563",28
"B.27",28
"B.1.438.1",28
"B.1.1.98",28
"B.4.4",27
"AY.69",27
"AY.29.1",27
"B.1.1.134",27
"B.1.1.213",27
"B.52",27
"AK.1",27
"B.58",27
"B.1.76",27
"B.1.97",27
"B.1.1.429",27
"B.43",27
"AY.124.1.1",27
"B.1.187",27
"B.1.1.315",26
"B.57",26
"A.2.5.1",26
"B.1.36.23",26
"B.1.160.8",26
"A.2.3",26
"B.1.160.19",26
"C.2.1",26
"B.1.470",25
"B.1.36.34",25
"B.1.1.243",25
"B.1.1.208",25
"AS.2",25
"B.10",25
"B.1.258.23",25
"B.1.330",25
"B.1.1.397",24
"B.1.12",24
"B.1.1.168",24
"B.1.1.159",24
"B.1.293",24
"B.1.1.257",24
"A.21",24
"B.1.36.27",24
"B.1.1.48",24
"B.34",24
"B.19",24
"B.1.1.172",24
"B.1.498",24
"B.1.294",24
"B.1.466.1",23
"B.1.1.92",23
"B.1.177.3",23
"B.1.1.162",23
"B.1.1.380",23
"C.36.2",23
"B.1.604",23
"B.1.556",23
"B.1.494",23
"N.1",23
"B.1.442",23
"B.1.1.529",22
"B.1.438",22
"B.1.1.109",22
"B.47",22
"B.1.1.282",22
"AY.5.6",22
"B.1.1.181",22
"AF.1",22
"B.1.1.251",22
"B.30",22
"B.1.1.145",21
"B.1.416",21
"AY.50",21
"P.1.2",21
"B.1.407",21
"B.1.474",21
"B.1.1.459",21
"B.1.594",21
"B.1.181",21
"B.1.1.450",21
"B.1.543",21
"B.1.106",21
"B.1.177.30",20
"B.1.258.2",20
"B.1.1.323",20
"B.1.231",20
"B.1.258.16",20
"B.1.578",20
"C.14",20
"B.1.40",20
"B.1.1.445",20
"AY.25.1.1",20
"N.7",20
"B.1.243.2",20
"B.1.1.258",20
"B.1.493",20
"B.1.1.203",19
"B.1.159",19
"B.1.466.2",19
"B.1.468",19
"B.1.1.234",19
"B.1.160.33",19
"C.1.2",19
"B.1.177.72",19
"B.1.450",19
"B.1.245",19
"AY.4.16",19
"AY.46.3",19
"B.1.323",19
"B.1.302",19
"B.13",19
"N.6",18
"B.1.77",18
"B.1.240.2",18
"AY.33.1",18
"B.1.1.382",18
"B.1.1.507",18
"B.1.1.226",18
"B.1.243.1",18
"B.1.438.3",18
"B.51",18
"B.1.1.133",17
"AY.9.2.2",17
"C.17",17
"AY.17",17
"B.1.1.361",17
"B.1.149",17
"B.1.250",17
"B.1.1.46",17
"B.26",17
"B.1.1.485",17
"B.1.533",17
"B.1.1.119",17
"B.1.566",17
"B.1.429.1",17
"B.1.318",17
"B.1.595.4",17
"B.1.304",17
"AE.7",16
"B.4.7",16
"AE.4",16
"B.1.1.354",16
"B.1.1.86",16
"B.1.1.266",16
"B.1.177.35",16
"B.1.383",16
"B.1.1.5",16
"C.18",16
"B.12",16
"B.1.606",16
"B.1.1.512",16
"B.1.1.328",16
"B.1.586",16
"B.1.341",16
"B.1.188",16
"B.1.1.77",16
"B.1.595.3",16
"B.5",15
"B.1.1.254",15
"AE.2",15
"C.26",15
"B.1.1.149",15
"G.1",15
"AN.1",15
"B.1.36.18",15
"B.1.1.482",15
"B.1.359",15
"B.1.310",15
"B.1.415.1",15
"P.1.7.1",15
"B.1.1.57",15
"B.1.501",15
"B.1.335",15
"B.1.1.463",15
"B.1.224",15
"B.1.1.356",15
"B.1.1.437",15
"B.1.590",15
"B.6.6",14
"Q.7",14
"B.1.466",14
"B.1.1.355",14
"AY.89",14
"B.1.1.378",14
"B.1.1.209",14
"AS.1",14
"B.1.1.289",14
"B.1.35",14
"B.1.142",14
"B.1.39",14
"AY.39.1.2",14
"B.1.184",14
"B.1.497",14
"B.1.334",14
"B.1.557",14
"B.1.431",14
"B.1.445",14
"B.1.1.480",14
"B.1.1.403",14
"B.1.1.93",14
"C.40",13
"B.1.1.298",13
"B.1.1.178",13
"B.1.1.107",13
"B.1.1.263",13
"B.1.1.166",13
"B.1.167",13
"B.1.1.13",13
"B.1.254",13
"B.1.571",13
"A.6",13
"B.1.1.358",13
"B.1.569",13
"B.1.1.169",13
"B.1.589",13
"B.1.479",13
"B.1.177.46",12
"AY.4.17",12
"B.1.531",12
"B.1.617.3",12
"AZ.4",12
"B.1.179",12
"B.1.1.370",12
"B.1.88.1",12
"B.1.198",12
"AA.8",12
"B.1.504",12
"B.1.1.302",12
"A.26",12
"B.1.1.525",12
"C.1",12
"B.1.1.262",12
"B.1.1.101",12
"A.7",12
"B.1.560",12
"B.1.635",12
"B.1.1.312",12
"D.4",12
"B.1.1.210",12
"B.1.1.40",12
"B.1.1.514",12
"B.1.163",12
"C.31",12
"AA.7",12
"AA.4",12
"A.25",11
"B.1.1.155",11
"B.1.1.371",11
"BA.3",11
"A.23",11
"L.2",11
"B.1.619.1",11
"B.1.1.14",11
"B.1.215",11
"B.1.168",11
"B.1.1.53",11
"B.1.1.117",11
"C.20",11
"B.1.1.72",11
"B.1.276",11
"B.1.1.441",11
"B.1.325",11
"B.1.1.268",11
"B.1.393",10
"AY.123.1",10
"B.1.1.55",10
"B.1.1.95",10
"B.1.1.147",10
"B.1.1.187",10
"B.1.1.341",10
"B.1.1.34",10
"B.1.145",10
"B.1.596.1",10
"C.4",10
"B.1.1.423",10
"B.1.1.320",10
"B.1.9.2",10
"Q.5",9
"B.1.249",9
"B.1.362.1",9
"M.3",9
"B.1.428.2",9
"B.1.1.349",9
"Q.8",9
"B.1.115",9
"B.1.420",9
"B.1.467",9
"AA.6",9
"B.1.1.359",9
"B.1.1.142",9
"C.5",9
"B.1.350",9
"B.1.1.352",9
"B.1.309",9
"B.1.500",9
"B.1.581",9
"B.1.1.335",9
"B.1.502",9
"B.1.177.47",8
"V.1",8
"B.1.1.363",8
"B.1.195",8
"Y.1",8
"B.1.428",8
"AZ.5",8
"B.1.1.347",8
"B.1.1.242",8
"B.1.1.461",8
"B.1.151",8
"B.1.456",8
"B.1.315",8
"B.1.1.440",8
"B.1.1.118",8
"AA.2",8
"N.3",7
"B.1.164",7
"B.1.1.326",7
"B.1.36.26",7
"B.1.1.411",7
"B.1.1.272",7
"B.1.177.74",7
"AA.5",7
"AC.1",7
"B.1.1.193",7
"B.1.177.24",7
"B.1.1.404",7
"B.42",7
"B.1.1.409",7
"B.1.510",7
"M.2",7
"B.1.1.185",7
"B.1.214",7
"B.1.1.160",7
"B.1.1.448",7
"B.1.1.458",7
"AY.43.5",7
"B.1.205",7
"B.1.595.2",7
"C.28",7
"B.1.601",7
"B.1.1.116",7
"B.1.1.467",7
"B.1.1.267",7
"B.1.1.163",6
"B.1.434",6
"B.1.1.175",6
"B.1.1.176",6
"B.1.321",6
"AY.43.7",6
"B.1.1.389",6
"B.1.1.182",6
"AT.1",6
"B.1.491",6
"B.1.1.310",6
"B.1.36.20",6
"B.1.459",6
"B.1.395",6
"B.1.1.43",6
"A.12",6
"B.1.520",6
"B.1.1.280",6
"A.11",6
"B.41",6
"B.1.160.13",6
"B.1.618",6
"B.32",6
"B.1.1.383",6
"AH.1",6
"B.1.357",6
"B.1.1.515",6
"A.2.5.3",6
"B.1.487",6
"B.1.1.392",6
"B.1.473",6
"P.7",6
"B.1.483",6
"B.1.1.75",5
"B.1.640.2",5
"B.1.1.345",5
"AY.63",5
"B.1.258.11",5
"B.1.562",5
"B.1.1.54",5
"B.1.1.288",5
"B.1.258.22",5
"B.1.153",5
"B.1.1.194",5
"B.1.1.421",5
"C.2",5
"B.1.110.2",5
"Q.2",5
"B.1.1.296",5
"AH.3",5
"B.1.1.395",5
"B.1.1.446",5
"B.1.277",5
"B.1.1.526",5
"B.1.177.12",5
"B.1.1.331",5
"B.1.1.398",5
"B.1.221.3",5
"AK.2",5
"B.1.1.224",5
"B.1.1.338",5
"B.1.221.4",5
"B.1.9.1",5
"B.1.1.327",5
"P.1.12.1",5
"AY.43.1",5
"B.1.284",5
"B.1.446",5
"B.1.1.426",5
"B.1.585",5
"B.37",5
"B.1.1.121",4
"B.1.351.5",4
"B.1.1.353",4
"B.1.462",4
"B.1.1.375",4
"B.1.1.373",4
"B.1.177.80",4
"N.9",4
"B.1.36.19",4
"B.1.496",4
"AY.31",4
"C.32",4
"B.1.486",4
"B.1.418",4
"B.1.256",4
"B.1.70",4
"B.1.432",4
"B.1.233",4
"P.1.4",4
"B.1.1.360",4
"B.1.161",4
"B.1.1.148",4
"B.1.194",4
"B.1.1.431",3
"B.1.333",3
"AY.46.6.1",3
"B.1.1.275",3
"B.1.1.408",3
"AE.1",3
"B.1.177.41",3
"B.1.1.325",3
"B.1.1.410",3
"B.1.252",3
"B.1.180",3
"B.1.1.425",3
"B.1.1.364",3
"B.1.463",3
"A.19",3
"B.1.258.21",3
"B.1.36.36",3
"B.18",3
"AG.1",3
"W.2",3
"N.8",3
"B.1.1.506",3
"B.1.36.33",3
"B.1.1.393",3
"B.1.1.442",3
"B.1.1.152",3
"B.1.597",3
"C.13",3
"B.1.69",3
"B.1.248",3
"B.1.94",3
"AY.122.5",3
"B.1.1.451",3
"L.4",3
"B.1.513",3
"B.1.134",3
"AY.26.1",3
"B.1.499.1",3
"AY.103.2",3
"B.1.495",3
"B.1.1.230",3
"B.1.572",3
"B.1.1.177",3
"AA.3",3
"B.1.1.122",2
"B.1.1.16",2
"B.1.1.27",2
"B.1.110.1",2
"B.1.535",2
"B.1.1.500",2
"B.1.177.67",2
"B.1.1.379",2
"B.1.1.391",2
"B.1.208",2
"U.3",2
"B.1.1.201",2
"B.1.1.38",2
"B.1.1.319",2
"D.5",2
"B.1.177.59",2
"B.1.264.1",2
"AY.75.3",2
"B.1.1.283",2
"B.1.593",2
"B.1.212",2
"AZ.1",2
"B.1.177.40",2
"B.1.160.25",2
"B.1.540",2
"AM.3",2
"P.1.8",2
"AY.125.1",2
"C.33",2
"C.25",2
"B.1.1.381",2
"B.1.1.336",2
"B.1.559",2
"B.1.36.37",2
"B.1.1.62",2
"AD.1",2
"B.1.537",2
"B.1.326",2
"B.1.564.1",2
"B.1.638",2
"AY.24.1",2
"B.1.343",2
"B.1.518",2
"B.1.1.261",2
"B.1.182",2
"B.1.424",2
"B.1.116",2
"B.1.1.513",2
"C.6",2
"B.1.1.367",2
"B.1.1.402",2
"B.1.1.388",2
"B.1.1.447",2
"A.24",2
"B.1.6",1
"B.4.6",1
"B.1.177.42",1
"B.1.258.20",1
"B.1.1.154",1
"B.1.372",1
"B.1.177.38",1
"B.1.1.417",1
"B.1.1.197",1
"AE.5",1
"B.1.633",1
"B.1.350.1",1
"B.1.36.21",1
"AM.1",1
"B.4.8",1
"B.1.177.14",1
"B.1.1.137",1
"B.1.211",1
"B.1.178",1
"B.1.482",1
"B.1.548",1
"B.53",1
"B.1.538",1
"B.36",1
"B.4.1",1
"B.1.279",1
"B.1.1.221",1
"B.1.258.9",1
"B.1.528",1
"B.1.1.412",1
"B.6.8",1
"B.38",1
"B.1.219",1
"B.1.258.18",1
"B.1.1.449",1
"B.1.177.39",1
"AY.4.12",1
"B.1.1.110",1
"B.1.1.424",1
"B.1.1.430",1
"AB.1",1
"AQ.1",1
"B.1.177.64",1
"AH.2",1
"AY.43.2",1
"P.6",1
"AY.18",1
"B.1.1.524",1
"B.6.3",1
"B.1.342",1
"P.1.9",1
"B.1.1.462",1
"B.1.506",1
"B.1.1.273",1
"B.1.1.340",1
"P.1.10.1",1
"AY.39.1.3",1
"AW.1",1
"A.2.4",1
"B.1.137",1
"C.8",1
"B.1.422",1
"Q.6",1
"B.1.1.342",1
"B.1.511",1
"B.1.380",1
"B.1.118",1
"B.1.1.332",1
"C.21",1
"B.1.547",1
"C.36.1",1
