"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","ORF1b.V839L","S.D614G","ORF1a.F3085C","S.A243V","ORF1a.Q3859H","ORF1a.L3606F","ORF1a.I1785T","ORF1a.T1022I","ORF1a.L3330F","S.N121S","ORF1a.D2299N","ORF1a.G2499D","ORF1a.V3349A","S.T678S","ORF3a.L85F","ORF1a.P3200S","ORF7a.Q94K","ORF1b.E720A","N.P383L","ORF1a.E1413D","S.V729A","S.A892V"
"B.1.1.164","United Kingdom","2020-04-20",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-20",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-22",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-22",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-23",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-23",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-24",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-24",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"B.1.1.164","United Kingdom","2020-04-16",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"B.1.1.164","United Kingdom","2020-04-23",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.164","United Kingdom","2020-04-18",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"B.1.1.164","Switzerland","2020",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
