"lineage","country","date","M.I82T","N.P13L","N.T205I","N.M234I","ORF1a.I114T","ORF1a.T265I","ORF1a.S1218G","ORF1a.T1395I","ORF1a.V2027A","ORF1a.S2926F","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.T3255I","ORF1a.V3847I","ORF1b.P314L","ORF3a.L15F","ORF3a.P42L","ORF3a.Q57H","ORF3a.P104L","ORF3a.S171L","ORF8.T11I","ORF8.A51S","ORF9b.P10S","S.D80G","S.E96Q","S.F157S","S.A264V","S.G446R","S.L452R","S.T478R","S.D614G","S.P681R","S.T859N","S.D936H","S.D950H","S.N978S","ORF1a.R542C","ORF1a.T2121I","ORF1a.P4389L","ORF1b.F685Y","ORF1a.V2857A","ORF1b.E1288D","ORF1a.D4006G","ORF1b.S1942I","ORF7a.R78S","ORF1a.A776T","ORF1b.N2694T","S.H66R","ORF8.F3S","ORF1b.V2073L","S.A1016T","ORF1b.Y1784C","ORF1a.T224I","ORF1b.T861I","ORF1a.L1853F","ORF1b.G662S","ORF1a.A3610V","ORF1b.P314F","ORF3a.G49V","ORF3a.H78D","M.L46F"
"B.1.637.1","USA","2021-12-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"B.1.637.1","USA","2021-12-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"B.1.637.1","USA","2021-12-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.637.1","USA","2021-12-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B.1.637.1","USA","2021-12-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.637.1","USA","2021-12-09",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.637.1","USA","2021-12-09",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.637.1","USA","2021-11-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.637.1","USA","2021-11-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.637.1","USA","2021-12-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
