"lineage","country","date","N.R203K","N.G204R","N.I292T","ORF1a.K737R","ORF1b.P314L","ORF6.I33T","S.D614G","ORF6.Q8H","S.P812L","ORF1b.R2308C","ORF1a.T3646A","ORF1b.G2191C","ORF3a.V29F","ORF1a.G1068R","ORF1a.L3606F","N.Q28H","ORF9b.R25I","ORF1a.T2106I","ORF1a.M1588K","S.T572I","ORF1a.L3828I","ORF1a.T2153I","ORF1b.V2389L","ORF3a.A33S","ORF3a.Y189H","N.N8Y","ORF1a.Q1943H","ORF1b.A374S","ORF3a.A54V","ORF9b.K4N","ORF1a.T1004I","ORF1b.H1087Y","ORF3a.T151I","S.T29I","S.F565L","ORF1a.Y3654H","ORF1b.N206D","ORF8.R101L","ORF1a.P892S","ORF1a.T1250I","ORF1b.G99C","ORF1b.T2165M","S.A522V"
"N.4","Chile","2020-05-13",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-05-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-05-13",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-05-27",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-05-08",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-04-30",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-04-27",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Chile","2020-04-27",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","New Zealand","2020-11-28",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"N.4","Switzerland","2021-01-26",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"N.4","USA","2020-10-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"N.4","USA","2020-12-17",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
