"lineage","country","date","M.A2V","N.A220V","ORF1a.T403I","ORF1a.V1991I","ORF1a.T2093I","ORF1b.P314L","ORF1b.A1215S","ORF1b.P1427S","ORF3a.T175I","ORF9b.I5T","S.P26S","S.V126A","S.H245Y","S.S477N","S.E484K","S.D614G","S.P681H","S.T1027I","S.D1118H","E.S68C","N.Q229H","M.N43S","ORF7a.V82I","ORF1a.T781I","ORF1b.R717K","ORF3a.R126M","S.Q675H","ORF1a.T2846I","ORF3a.M125I","S.T883I","ORF1a.T4161I","ORF1a.T1567I","N.L230F","ORF1b.P909L","ORF1a.A3726V","ORF9b.T83I","ORF1b.S1003G","ORF1a.E847K","ORF1a.H1264Y","ORF1a.S2024L","ORF1b.M1499I","ORF6.I33T","ORF9b.K4R","N.P13S","ORF1b.P2313L","ORF1a.A1043V","ORF1b.G1824C","ORF1a.F3957L","ORF1b.R1736G","N.P199S","ORF1b.Q813H","ORF8.Q27.","ORF8.P36L","ORF8.R52I","ORF8.K68.","ORF8.Y73C","ORF1a.P2899S","E.S55Y","N.A90S","ORF1b.S2339F","ORF9b.E86D","N.P168S","ORF1b.A2431V","ORF1a.S2562G","ORF1a.V2793A","ORF1b.T2537I","ORF1a.L1191V","ORF1b.L1053I","S.V70I","N.N213S","ORF1a.P309L","ORF1a.L3919F","ORF1b.S2212I","S.C1254F","M.I76T","ORF1a.H1141Y","ORF1b.A1219S","ORF1b.I2194V","ORF3a.T151I","ORF7a.P84L","ORF1a.T3255I","ORF1b.T76I","S.L5F","S.T20I","ORF1b.T1511I","S.A701V","ORF1a.G519S","ORF1b.A1392V","ORF1b.P1821S","ORF3a.D27H","ORF3a.S272I","ORF7a.V24F","ORF7a.A50T","S.Q14H","S.G946R","ORF1a.S2396G","ORF1a.N2449Y","ORF7b.T40I","E.V58F","ORF1a.L2609F","N.G215S","N.L331F","ORF1b.S1089L","ORF3a.G49V","S.K1149R","ORF3a.A110V","ORF3a.D265G","ORF1a.I2086T","ORF1a.G3676S","ORF1a.F3677L","N.S416L","ORF1a.P1640S","ORF1a.Q1813H","ORF1a.A2891V","ORF1b.K1863Q","ORF3a.V256F","ORF7a.E121Q","N.D377Y","ORF8.G77C","ORF1a.F3604S","ORF3a.A98T","S.S929I","N.T247S","ORF1a.T999I","ORF1a.S4398P","ORF1b.K1873N","ORF1a.T2183I","ORF1a.T3520I","S.Q613H","S.K147T","ORF1b.L627F","ORF7a.S83L"
"B.1.620","Germany","2021-04-12",0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-04-26",0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-05-03",0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-05-03",0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-05-04",0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-05-06",0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-04-12",0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-04-19",0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-05-04",0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.620","Germany","2021-05-04",0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
