"lineage","country","date","N.T205I","ORF1a.L92F","ORF1a.A2785T","ORF1a.L3606F","ORF1b.P314L","ORF1b.T1064N","ORF1b.V1149L","ORF3a.Q57H","ORF3a.S216P","ORF8.T26N","S.D614G","S.P681H","S.D796Y","ORF1a.K1319E","ORF1a.T2124I","ORF1b.E2014D","ORF1b.E2544D","S.F855S","S.L216F","ORF1a.T3575I","ORF1a.V3261I","ORF1a.T814I","ORF1b.M1596I","ORF1a.A3939V","S.V1228L","N.M234I","ORF1a.T265I","ORF1a.K1407R","ORF1a.A1679S","ORF1a.N1871S","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.A3705V","ORF1a.V3847I","ORF3a.P42L","ORF3a.P104F","ORF8.T11I","ORF8.A51S","ORF9b.P17L","S.D80G","S.F157S","S.L452R","S.T859N","S.D950H","ORF1a.H1545Y","ORF1b.S1779I","ORF3a.A39T","S.F490S","ORF1a.Q575R","ORF1a.K2511N","ORF3a.P104L","S.M1237I","N.D128Y","ORF1a.A591V","ORF1b.E1184D","ORF7a.R89I","S.A623V","ORF1a.S2312L","ORF3a.D183V"
"B.1.474","Switzerland","2020-10-15",1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.474","Switzerland","2020-11-13",1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.474","Switzerland","2020-11-12",1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.474","Switzerland","2021-01-12",1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.474","USA","2021-03-22",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.474","USA","2021-06-14",1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.474","USA","2021-05-10",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"B.1.474","USA","2021-05-04",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
"B.1.474","USA","2021-05-04",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
"B.1.474","USA","2021-04-16",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
"B.1.474","USA","2021-04-16",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
